Address,Type,Datetime,Latitude,Longitude,ReportLocation,IncidentNumber
6900 37th Av S,Medic Response,11/09/2011 11:33:00 PM +0000,47.540683,-122.286131,"(47.540683, -122.286131)",F110104166
N 50th St / Stone Way N,Aid Response,11/09/2011 11:32:00 PM +0000,47.665034,-122.340207,"(47.665034, -122.340207)",F110104164
E John St / E Olive Way,Aid Response,11/09/2011 11:32:00 PM +0000,47.619575,-122.324257,"(47.619575, -122.324257)",F110104165
611 12th Av S,Aid Response,11/09/2011 11:29:00 PM +0000,47.597406,-122.317228,"(47.597406, -122.317228)",F110104162
4545 42nd Av Sw,Automatic Medical Alarm,11/09/2011 11:25:00 PM +0000,47.562472,-122.385455,"(47.562472, -122.385455)",F110104161
2124 3rd Av,Investigate Out Of Service,11/09/2011 11:17:00 PM +0000,47.613347,-122.342498,"(47.613347, -122.342498)",F110104160
7605 Rainier Av S,Aid Response,11/09/2011 11:07:00 PM +0000,47.534478,-122.269989,"(47.534478, -122.269989)",F110104159
2615 Sw Barton St,Medic Response,11/09/2011 11:05:00 PM +0000,47.521023,-122.366095,"(47.521023, -122.366095)",F110104158
2028 Ne 65th St,Aid Response,11/09/2011 11:03:00 PM +0000,47.675778,-122.305907,"(47.675778, -122.305907)",F110104156
4409 7th Av Ne,Trans to AMR,11/09/2011 11:02:00 PM +0000,47.660665,-122.320776,"(47.660665, -122.320776)",F110104157
Queen Anne Av N / Boston St,Aid Response,11/09/2011 10:59:00 PM +0000,47.638383,-122.356927,"(47.638383, -122.356927)",F110104154
13745 Corliss Av N,Aid Response Yellow,11/09/2011 10:56:00 PM +0000,47.728918,-122.331546,"(47.728918, -122.331546)",F110104153
810 Virginia St,Aid Response,11/09/2011 10:55:00 PM +0000,47.615789,-122.336507,"(47.615789, -122.336507)",F110104151
11100 ROOSEVELT WAY NE,Aid Response,11/09/2011 10:55:00 PM +0000,47.709352,-122.317864,"(47.709352, -122.317864)",F110104152
2600 Sw Thistle St,Medic Response,11/09/2011 10:53:00 PM +0000,47.52828,-122.365857,"(47.52828, -122.365857)",F110104150
1930 Post Al,Aid Response,11/09/2011 10:52:00 PM +0000,47.610193,-122.342138,"(47.610193, -122.342138)",F110104148
115 16th Av,Aid Response,11/09/2011 10:52:00 PM +0000,47.601973,-122.311568,"(47.601973, -122.311568)",F110104149
401 Broadway,Medic Response,11/09/2011 10:46:00 PM +0000,47.605227,-122.320749,"(47.605227, -122.320749)",F110104147
16 Valley St,Aid Response,11/09/2011 10:37:00 PM +0000,47.626334,-122.356628,"(47.626334, -122.356628)",F110104146
8916 Aurora Av N,Medic Response,11/09/2011 10:29:00 PM +0000,47.693572,-122.344557,"(47.693572, -122.344557)",F110104144
500 Pine St,Medic Response,11/09/2011 10:23:00 PM +0000,47.611672,-122.336484,"(47.611672, -122.336484)",F110104139
3rd Av / Pike St,Medic Response,11/09/2011 10:23:00 PM +0000,47.60975,-122.337793,"(47.60975, -122.337793)",F110104142
4802 S Holden St,Aid Response,11/09/2011 10:21:00 PM +0000,47.533662,-122.272626,"(47.533662, -122.272626)",F110104137
7364 East Green Lake Dr N,Aid Response Yellow,11/09/2011 10:11:00 PM +0000,47.681281,-122.326897,"(47.681281, -122.326897)",F110104136
Rainier Av S / S Walden St,1RED 1 Unit,11/09/2011 10:10:00 PM +0000,47.572919,-122.294006,"(47.572919, -122.294006)",F110104135
Phinney Av N / N 39th St,Motor Vehicle Accident,11/09/2011 10:04:00 PM +0000,47.654152,-122.354466,"(47.654152, -122.354466)",F110104134
Boren Av / Howell St,Aid Response,11/09/2011 10:03:00 PM +0000,47.616171,-122.331417,"(47.616171, -122.331417)",F110104132
3802 S Othello St,Aid Response,11/09/2011 10:02:00 PM +0000,47.537035,-122.28468,"(47.537035, -122.28468)",F110104131
Lenora St / 4th Av,Aid Response,11/09/2011 09:51:00 PM +0000,47.613831,-122.341333,"(47.613831, -122.341333)",F110104130
850 S Rose St,Aid Response,11/09/2011 09:47:00 PM +0000,47.529013,-122.322208,"(47.529013, -122.322208)",F110104128
12362 Sand Point Way Ne,Medic Response,11/09/2011 09:37:00 PM +0000,47.718801,-122.284841,"(47.718801, -122.284841)",F110104127
805 4th Av N,Aid Response,11/09/2011 09:32:00 PM +0000,47.626322,-122.348863,"(47.626322, -122.348863)",F110104126
109 23rd Av E,Medic Response,11/09/2011 09:30:00 PM +0000,47.619215,-122.302545,"(47.619215, -122.302545)",F110104125
4515 36th Av Sw,Aid Response,11/09/2011 09:19:00 PM +0000,47.562744,-122.377451,"(47.562744, -122.377451)",F110104124
Occidental Av S / S Main St,Aid Response,11/09/2011 09:04:00 PM +0000,47.600041,-122.332881,"(47.600041, -122.332881)",F110104121
1111 13th Av,Aid Response,11/09/2011 08:58:00 PM +0000,47.611602,-122.315435,"(47.611602, -122.315435)",F110104118
850 S Rose St,Natural Gas Odor,11/09/2011 08:57:00 PM +0000,47.529013,-122.322208,"(47.529013, -122.322208)",F110104117
4623 Sw Stevens St,Medic Response,11/09/2011 08:37:00 PM +0000,47.577504,-122.391038,"(47.577504, -122.391038)",F110104115
13333 Greenwood Av N,Medic Response,11/09/2011 08:34:00 PM +0000,47.725503,-122.355552,"(47.725503, -122.355552)",F110104114
